Species,Time,Treatment,kiaa0586,actr6,asb5,sp7,capn1,gnmt,cdc20,ptch1,notch1a,opg,rankl,rankl_opg,,,
MG,1wk,Pelagic,,0.04579681,0.098359601,0.003099015,0.354841153,,,0.094598004,0.002498345,,0.112464755,,,,
MG,1wk,Pelagic,,0.049273317,0.074801348,0.002666959,0.298698815,,,0.095438595,0.033972591,,0.375671755,,,,
MG,1wk,Pelagic,,0.141341901,0.493660159,0.004192625,0.812387242,,,,0.034667803,,0.401753955,,,,
MG,1wk,Pelagic,,0.139409268,0.50060633,0.004345685,0.851670251,,,,0.01735376,,0.404883796,,,,
MG,1wk,Pelagic,,0.147903556,0.450720169,0.003961307,0.785968663,,,,,,,,,,
MG,2wk,Benthic,2.90E-05,0.007448222,0.004542154,0.000485841,0.011073875,0.023881148,2.36E-05,0.006283083,0.002865154,0.000913427,0.010792618,10.52982347,,,
MG,2wk,Benthic,7.14E-05,0.008779295,0.0060218,0.000603076,0.018424612,0.033797557,1.85E-05,0.008035776,0.00260011,0.001061223,0.01071784,40.84454592,,,
MG,2wk,Benthic,0.000132342,0.008762394,0.006854379,0.000601053,0.011771972,0.035550222,1.77E-05,0.00857551,0.002187732,0.000526705,0.009896958,37.91493197,,,
MG,2wk,Benthic,5.46E-05,0.016852333,0.016853053,0.000442144,0.021527899,0.044570473,0.000364929,0.016793194,0.018109668,0.000619853,0.022988161,13.71921413,,,
MG,2wk,Benthic,8.32E-05,0.019446897,0.015250429,0.000611875,0.020471054,0.06031606,0.000240341,0.020253388,0.02065905,0.0005951,0.0238892,20.53735296,,,
MG,2wk,Benthic,8.28E-05,0.01923924,0.016685136,0.000565896,0.026419342,0.058261116,0.000396703,0.013021048,0.017656574,0.000852116,0.024011319,40.70485661,,,
MG,2wk,Benthic,4.08E-05,0.036611213,0.026020704,0.000783903,0.056397578,0.051488344,2.58E-05,0.019109416,0.002178401,0.000824915,0.03195392,,,,
MG,2wk,Benthic,4.85E-05,0.037924215,0.018516817,0.000867449,0.057652064,0.053290328,2.00E-05,0.026942799,0.002530854,0.000864115,0.032375875,,,,
MG,2wk,Benthic,3.99E-05,0.038498882,0.024404741,0.00091934,0.05591218,0.064084103,3.18E-05,0.026306571,0.001939398,0.002572964,0.031970341,,,,
