Species,Time,Treatment,kiaa0586,actr6,asb5,sp7,capn1,gnmt,cdc20,ptch1,notch1a,opg,rankl,rankl_opg,,,
TO,1wk,Pelagic,0.0000424,0.002520433,0.003621916,0.000940757,0.00012768,0.008776825,4.60E-05,0.001525244,0.001090318,0.000611283,0.000232302,0.269957954,,,
TO,1wk,Pelagic,0.0000274,0.001812669,0.001272853,0.00078746,0.0000903,0.007530712,0.000035698,0.001731695,0.001230317,0.001084924,0.000152726,0.595906259,,,
TO,1wk,Pelagic,0.0000337,0.002246775,0.001263103,0.000724753,0.0000432,0.008759519,4.54E-05,0.000979236,0.00088869,0.000725469,0.000209718,0.334128278,,,
TO,1wk,Pelagic,0.0000684,0.000093,0.000880583,0.001699221,0.00031308,0.005055072,6.37E-05,0.001286769,0.001344715,0.000742711,0.000526158,0.00105646,,,
TO,1wk,Pelagic,0.0000795,0.000173443,0.000349208,0.001733895,0.000348003,0.00509708,5.87E-05,0.001198862,0.001290213,0.000808322,0.00046233,,,,
TO,1wk,Pelagic,0.0000606,0.001209585,0.008647765,0.002128165,0.000210917,0.005159804,3.42E-05,0.000831151,0.000486138,0.000989365,0.000501932,,,,
TO,1wk,Pelagic,0.0000794,0.000934156,0.001682826,0.000855939,0.000225463,0.004542752,8.67E-05,0.000980043,0.000634145,0.003835447,0.000865149,,,,
TO,1wk,Pelagic,0.0000551,0.001035172,0.001853372,0.000700241,0.000262571,0.004173634,5.69E-05,0.000758027,0.001123782,0.003281671,0.00148078,,,,
TO,1wk,Pelagic,0.0000688,0.000656895,0.001533207,0.001318305,0.000129446,0.004609829,4.03E-05,0.019270412,0.001539841,0.003432857,0.001117706,,,,
TO,1wk,Pelagic,0.0000343,0.000771014,0.002754637,0.004513188,0.000821817,0.009367075,0.000123856,0.029927832,,0.002490549,3.33E-06,,,,
TO,1wk,Pelagic,0.0000839,0.000676007,0.002867982,0.007205578,0.000784974,0.009534626,0.000147385,0.03804174,,0.002798357,2.86E-06,,,,
TO,1wk,Pelagic,0.000034,0.000638951,0.002357077,0.005863131,0.000561601,0.010596851,0.000141093,0.121572532,,0.001771839,1.44E-06,,,,
TO,1wk,Pelagic,0.0000495,0.001224095,0.008083641,0.002645927,0.000333843,0.008921555,0.000084572,0.09610031,,0.001049087,,,,,
TO,1wk,Pelagic,0.0000117,0.001005029,0.010220049,0.003270399,0.00032483,0.010049484,0.000119753,0.095040295,,0.001021065,,,,,
TO,1wk,Pelagic,0.0000142,0.000801107,0.008822599,0.003376845,0.000237094,0.011194618,5.79E-05,,,0.002101334,,,,,
TO,1wk,Pelagic,5.41E-06,0.000904325,0.005403416,0.006151112,0.004796517,0.030114703,,,,,,,,,
TO,1wk,Pelagic,2.50E-05,0.00071517,0.005395529,0.006856513,0.006618138,0.031689334,,,,,,,,,
TO,1wk,Pelagic,2.81E-05,0.011894618,0.003658932,0.006359086,0.007307329,0.036788276,,,,,,,,,
TO,1wk,Pelagic,,0.014288164,,0.0138,0.00907,0.022395497,,,,,,,,,
TO,1wk,Pelagic,,0.014412764,,0.0126,0.018415274,0.025159322,,,,,,,,,
TO,1wk,Pelagic,,0.012230164,,0.013,0.008986795,0.023922446,,,,,,,,,
TO,1wk,Pelagic,,0.013271969,,,,,,,,,,,,,
TO,1wk,Pelagic,,0.012162583,,,,,,,,,,,,,
TO,2wk,Benthic,0.000126,0.004721588,0.0000318,0.000922,0.00060798,0.006541989,0,0.003218465,0.000813455,0.00379848,0.00085949,0.221150318,,,
TO,2wk,Benthic,0.000176,0.004705769,0.0000285,0.00169,0.000528781,0.009051548,0,0.003857242,0.001175514,0.003460319,0.000780993,0.080683575,,,
TO,2wk,Benthic,0.000163,0.004663948,2.59E-05,0.00142,0.000563444,0.0095372,0,0.003612675,0.001049421,0.003599698,0.000761262,0.171890177,,,
TO,2wk,Benthic,0.0000189,0.002502483,1.58E-05,0.000323,8.86E-05,4.36E-05,0,0.001455308,0.000559882,0.000863907,0.000110596,0.255626411,,,
TO,2wk,Benthic,0.0000288,0.002156095,5.90E-06,0.000458,0.000124645,0.00010447,0,0.001510632,0.000439153,0.001489437,8.51E-05,1.14E-01,,,
TO,2wk,Benthic,0.0000279,0.002319042,1.89E-05,0.000647,0.000131371,0.000177192,0,0.001435291,0.000454407,0.001571504,8.94E-05,3.46E-01,,,
TO,2wk,Benthic,0.0000248,0.002031316,9.06E-05,0.0000316,0.000425584,0.004813821,0,0.001568496,0.001164339,0.001864302,0.000388032,,,,
TO,2wk,Benthic,0.0000219,0.002010545,0.000230864,0.0000516,0.000343861,0.006111938,0,0.0016392,0.001141284,0.002088579,0.000376284,,,,
TO,2wk,Benthic,0.0000472,0.002004341,0.000283098,0.0000511,0.00036629,0.005723735,0,0.001644613,0.001067894,0.002262018,0.000288113,,,,
TO,2wk,Benthic,0.0000176,0.001065795,0.001000597,0.0000828,0.000540287,0.002023396,0,0.000644485,0.001585894,0.000695701,0.000183955,,,,
TO,2wk,Benthic,0.0000287,0.001056373,0.001172064,0.000130887,0.000574016,0.002511848,0,0.000578191,0.001564522,0.000732978,0.000176092,,,,
TO,2wk,Benthic,0.0000407,0.001143082,0.001291014,0.000118804,0.000563585,0.002843376,0,0.000652434,0.001467745,0.000682666,0.000179009,,,,
TO,2wk,Benthic,0.0000195,0.00189348,0.000376022,4.95E-05,0.000169214,0.004102005,0,0.001396068,0.001325536,0.002178988,0.000263352,,,,
TO,2wk,Benthic,0.00003,0.001938127,0.00021808,6.83E-05,0.000317561,0.005223806,0,0.00128659,0.00119532,0.002129408,0.000239052,,,,
TO,2wk,Benthic,0.0000383,0.001698996,0.000234855,7.67E-05,0.000288399,0.005370557,0,0.001437197,0.000872646,0.002248597,0.000248117,,,,
TO,2wk,Benthic,0.0000227,0.001115969,0.001355156,0.000204226,0.000265804,0.002607323,1.87E-06,0.000999701,0.0005419,0.000770415,0.000260007,,,,
TO,2wk,Benthic,0.0000356,0.001165347,0.001548853,0.000186,0.000268784,0.003092123,1.56E-06,0.000894031,0.000880169,0.000844077,0.000295545,,,,
TO,2wk,Benthic,0.0000392,0.001098614,0.001519855,0.000236,0.00030414,0.003194249,4.36E-07,0.001049848,0.000730369,0.000761086,0.000267405,,,,
TO,2wk,Benthic,0.0000332,0.002443525,,0.000346,0.000271162,0.011442157,,,,,,,,,
TO,2wk,Benthic,0.000076686,0.002711608,,0.00015863,0.000118496,0.015196913,,,,,,,,,
TO,2wk,Benthic,,0.002212654,,0.000318164,,0.01931949,,,,,,,,,
TO,2wk,Pelagic,1.62E-05,0.000972066,0.002114819,4.64E-05,0.000353289,0.001754073,1.53E-05,0.000562256,0.000653727,0.000567865,0.000147993,0.303507789,,,
TO,2wk,Pelagic,0.000035331,0.000912891,0.001874841,6.32E-05,0.000339399,0.001943649,1.44E-05,0.000563607,0.00051493,0.000538358,0.000174384,0.438471469,,,
TO,2wk,Pelagic,1.36E-05,0.001148044,0.001454546,0.000062822,0.000242491,0.001974702,2.97E-06,0.0005511,0.000638049,0.000525554,0.000171326,0.203077873,,,
TO,2wk,Pelagic,0.000120065,0.001139541,0.002469959,0.000371242,0.000219265,0.001452646,7.89E-06,0.000474328,0.000686358,0.00083518,0.000366555,0.025945691,,,
TO,2wk,Pelagic,0.000536,0.001052219,0.002359437,0.000370044,0.000196029,0.002193545,7.16E-06,0.000493954,0.000780623,0.000864422,0.000362522,,,,
TO,2wk,Pelagic,0.000454358,0.001103025,0.001393096,0.000371297,0.000169881,0.002449728,1.76E-06,0.000515886,0.000785794,0.000753928,0.00034465,,,,
TO,2wk,Pelagic,0.000302,0.000691594,0.011650575,0.000297424,0.000515624,0.001539177,1.32E-05,0.000567088,0.000983812,0.000804056,0.000175213,,,,
TO,2wk,Pelagic,0.000169776,0.000738887,0.014906163,0.000296221,0.000728604,0.001952046,4.13E-06,0.000481101,0.001289419,0.000837898,0.000179669,,,,
TO,2wk,Pelagic,0.000949541,0.000757583,0.006765694,0.000333392,0.000155851,0.001909693,4.84E-06,0.000509482,0.001286497,0.000843209,0.000149158,,,,
TO,2wk,Pelagic,4.05E-05,0.000591123,0.000161367,0.000206255,0.000163879,0.000284614,,0.001484411,0.000298115,0.000763425,1.97E-05,,,,
TO,2wk,Pelagic,0.000237003,0.000571149,0.000193257,0.000221384,0.000118167,0.000190938,,0.001586243,0.000107111,0.000759229,1.98E-05,,,,
TO,2wk,Pelagic,5.82E-05,0.000636071,0.000135975,0.000186994,0.000151486,0.000299106,,0.001761052,,0.000850335,,,,,
TO,2wk,Pelagic,0.00014441,0.000952857,,0.000365098,0.00020953,,,0.003610892,,0.000783964,,,,,
TO,2wk,Pelagic,0.00221,0.000933144,,0.000394,0.000234,,,0.00333371,,0.000381054,,,,,
TO,2wk,Pelagic,0.00233,0.000911695,,0.000379,0.000205,,,0.003353106,,0.000505988,,,,,
TO,2wk,Pelagic,0.0000126,0.000292935,,0.000485,0.000727,,,,,,,,,,
TO,2wk,Pelagic,0.0000223,0.000301565,,0.00046,0.001001429,,,,,,,,,,
TO,2wk,Pelagic,0.0000292,0.000255546,,0.000457,0.000282912,,,,,,,,,,
TO,2wk,Pelagic,0.00000165,0.002290709,,0.00399,,,,,,,,,,,
TO,2wk,Pelagic,0.00000352,0.002159689,,0.00395,,,,,,,,,,,
TO,2wk,Pelagic,0.00000353,0.00198518,,0.00299,,,,,,,,,,,
TO,2wk,Pelagic,,0.002849592,,,,,,,,,,,,,
TO,2wk,Pelagic,,0.00242268,,,,,,,,,,,,,
TO,2wk,Pelagic,,0.004446635,,,,,,,,,,,,,
TO,4wk,Benthic,0.0000129,0.000417606,0,5.98E-06,0.0000537,0.001098447,0,0.000329121,0.000173495,0.00046451,8.14E-05,1.67E-01,,,
TO,4wk,Benthic,0.000013,0.000564046,0,0.0000103,0.0000473,0.002106964,0,0.000346435,0.000149504,0.000506515,8.19E-05,1.35E-01,,,
TO,4wk,Benthic,0.0000103,0.000591312,0,0.00000969,0.0000219,0.002758277,0,0.000337765,7.86E-05,0.000501389,8.23E-05,1.06E-01,,,
TO,4wk,Benthic,0.0000159,0.000451109,0,0.0000213,0.000277,0.002054441,0,0.000458392,0.000265161,0.000386703,7.09E-05,1.54E-01,,,
TO,4wk,Benthic,0.0000147,0.000558779,0,0.00003,0.00021,0.001402331,0,0.000455888,0.000162747,0.000527258,5.21E-05,1.80E-01,,,
TO,4wk,Benthic,0.000014,0.000483717,0,0.0000323,0.000214,0.002249453,0,0.000422314,0.000243806,0.000438576,5.34E-05,7.77E-03,,,
TO,4wk,Benthic,0.00000717,0.000369906,0,0.0000103,0.0000942,0.001750823,0,0.000441282,0.000245136,0.000813345,0.000142837,,,,
TO,4wk,Benthic,0.00000888,0.000423046,0,0.000017,7.94E-05,0.003340723,0,0.000447414,0.000296177,0.001304541,8.50E-05,,,,
TO,4wk,Benthic,0.000012,0.000429182,0,0.000026266,0.000106619,0.003445168,0,0.000435581,0.000210011,0.001289361,9.98E-05,,,,
TO,4wk,Benthic,0.0000167,0.00053743,0,0.000313,0.0000605,0.002727234,2.95E-05,0.000282225,8.55E-05,0.000903957,0.000187375,,,,
TO,4wk,Benthic,0.0000154,0.000396912,0,0.000165,6.53E-05,0.002921292,2.73E-05,0.000269261,2.80E-05,0.001218505,0.000160087,,,,
TO,4wk,Benthic,0.0000157,0.000492131,0,0.000517,6.30E-05,0.003857871,4.66E-05,0.000303402,6.35E-05,0.001176143,0.000144098,,,,
TO,4wk,Benthic,0.000015,0.000355743,0,0.0000642,0.0000287,0.001985541,0,0.000161249,9.47E-05,0.000465704,0.000149644,,,,
TO,4wk,Benthic,0.0000086,0.000429973,0,0.0000753,0.0000268,0.003154924,0,0.000165337,2.79E-05,0.000512707,7.36E-05,,,,
TO,4wk,Benthic,0.0000164,0.000413483,0,0.000198,2.32E-05,0.003390089,0,0.000150074,2.92E-05,0.000529204,4.02E-05,,,,
TO,4wk,Benthic,0.0000058,0.000258097,0,0.00000483,0.0000125,,0,0.003876084,5.71E-06,0.001033583,1.55E-05,,,,
TO,4wk,Benthic,0.0000118,0.000251939,0,0.00000981,0.0000107,,0,0.003867811,3.33E-06,0.001988919,8.02E-06,,,,
TO,4wk,Benthic,0.00000844,0.000224996,0,0.00000844,0.0000105,,0,0.003886963,3.75E-06,0.002005027,8.55E-06,,,,
TO,4wk,Benthic,0.0000134,0.001250565,0,0.0000204,0.000023,,0,,,,,,,,
TO,4wk,Benthic,0.0000108,0.001483741,0,0.0000169,0.0000224,,0,,,,,,,,
TO,4wk,Benthic,0.0000241,0.001461246,0,0.000017,,,0,,,,,,,,
TO,4wk,Pelagic,0.0000334,0.001872407,7.97E-06,0.000803,0.000157,0.011109202,0,0.001052938,0.001103182,0.000499697,5.20E-05,8.24E-02,,,
TO,4wk,Pelagic,0.0000174,0.002984782,2.73E-05,0.000893244,0.000138083,0.011038313,0,0.001109033,0.001306259,0.000592952,5.90E-05,8.52E-02,,,
TO,4wk,Pelagic,0.0000317,0.001981716,2.44E-05,0.00084539,8.07E-05,0.000799939,0,0.001261777,0.001300797,0.000660846,2.87E-05,5.11E-02,,,
TO,4wk,Pelagic,0.0000265,0.002034754,6.31E-05,4.78E-05,0.00014496,0.001714666,0,0.000849187,0.001138961,0.000804278,9.85E-05,5.56E-02,,,
TO,4wk,Pelagic,0.0000194,0.002147165,4.05E-05,0.000052048,0.000158848,0.002634317,0,0.000943932,0.000798622,0.000879869,7.96E-05,4.53E-02,,,
TO,4wk,Pelagic,0.0000262,0.002106194,3.74E-05,5.08E-05,7.77E-05,0.001317297,0,0.000918238,0.001004358,0.000810795,3.45E-05,1.78E-02,,,
TO,4wk,Pelagic,0.0000344,0.001794791,3.83E-05,6.43E-05,0.000094196,0.002270105,0,0.00070693,0.000507205,0.000949826,5.99E-05,,,,
TO,4wk,Pelagic,0.0000262,0.001863426,4.01E-05,6.34E-05,0.000131637,0.001875466,0,0.000717177,0.000467904,0.000964473,5.91E-05,,,,
TO,4wk,Pelagic,0.000027,0.001799857,3.69E-05,6.19E-05,0.000055872,0.005444087,0,0.000768929,0.000517051,0.000938543,2.71E-05,,,,
TO,4wk,Pelagic,0.000027,0.001865249,4.27E-05,0.00000669,1.25E-05,0.005297611,0,0.000700766,0.000544032,0.001231543,7.91E-05,,,,
TO,4wk,Pelagic,0.000025,0.001707309,5.21E-05,1.38E-05,1.95E-05,0.004991454,0,0.000693855,0.000191849,0.00134531,0.000101178,,,,
TO,4wk,Pelagic,0.0000277,0.002115894,3.29E-07,0.000014264,2.27E-06,0.006743641,0,0.000743961,0.000172423,0.001344073,3.66E-05,,,,
TO,4wk,Pelagic,0.00000916,0.001441728,1.18E-07,4.08E-05,6.47E-05,0.008238152,0,0.000477125,0.000305711,0.002035891,0.000109109,,,,
TO,4wk,Pelagic,2.64E-05,0.001887722,1.60E-07,5.87E-05,0.000048517,0.007915327,0,0.000466455,0.000822803,0.002205948,8.17E-05,,,,
TO,4wk,Pelagic,4.24E-05,0.001845757,,5.93E-05,8.48E-06,0.001249385,0,0.000453734,,0.002498989,1.87E-05,,,,
TO,4wk,Pelagic,8.32E-06,0.001886772,,0.000438388,0.000166113,0.002032245,0,0.000623488,,0.000872506,1.13E-05,,,,
TO,4wk,Pelagic,0.00000843,0.002042392,,0.000416,0.000173508,0.001286503,0,0.000606164,,0.000796249,,,,,
TO,4wk,Pelagic,0.0000146,0.001923786,,0.000453559,0.000171256,0.005393678,,0.000685042,,0.001000047,,,,,
TO,4wk,Pelagic,0.0000139,0.006682137,,0.000301559,0.000184083,0.005557627,,0.000513686,,0.002131035,,,,,
TO,4wk,Pelagic,0.0000424,0.010701368,,0.000221384,0.000244875,0.00720986,,0.000482859,,0.002184861,,,,,
TO,4wk,Pelagic,0.0000372,0.005068442,,0.000294645,0.000312299,,,0.000487255,,0.002828113,,,,,
TO,8wk,Benthic,0.00000952,0.001376078,0,0.00016342,0.000258155,1.68E-05,0,0.00209416,7.96E-06,0.001531166,9.90E-05,3.12E-02,,,
TO,8wk,Benthic,0.0000441,0.001542635,0,0.000199985,0.000428153,9.15E-05,0,0.002325309,4.01E-06,0.002310289,5.26E-05,3.89E-02,,,
TO,8wk,Benthic,0.0000348,0.001732081,0,0.000147509,0.00045666,0.00019585,0,0.002116146,3.78E-05,0.002112425,1.28E-05,1.08E-02,,,
TO,8wk,Benthic,0.0000295,0.001844079,0,0.000363478,0.001761767,0.000379298,0,0.001755312,1.46E-05,0.001202178,7.35E-05,1.14E-01,,,
TO,8wk,Benthic,0.0000686,0.0019227,0,0.000494208,0.001843058,0.000832011,0,0.001846073,1.79E-05,0.001853859,5.59E-05,1.73E-02,,,
TO,8wk,Benthic,0.0000534,0.001758748,0,0.000137799,0.001603293,0.000971822,0,0.001767601,1.23E-05,0.001820652,4.62E-05,,,,
TO,8wk,Benthic,0.0000364,0.002382636,0,0.000487887,0.000935278,4.19E-05,0,0.002897062,9.13E-06,0.002330328,3.59E-05,,,,
TO,8wk,Benthic,0.0000618,0.002341972,0,0.000482,0.001144294,0.000372961,0,0.003088417,1.20E-05,0.003669177,3.25E-05,,,,
TO,8wk,Benthic,0.0000619,0.001871011,0,0.00006863,0.001295756,0.000146469,0,0.003179391,8.08E-05,0.003161768,2.60E-05,,,,
TO,8wk,Benthic,0.0000346,0.001465429,0,0.000707857,0.001511072,0.00980461,0,0.001861771,6.16E-05,0.000492408,0.000135945,,,,
TO,8wk,Benthic,0.0000428,0.001336745,0,0.000676624,0.001864872,0.009624657,0,0.001781186,4.57E-05,0.002565533,9.13E-05,,,,
TO,8wk,Benthic,0.000042,0.001364061,0,0.0003894,0.001324776,0.010888836,0,0.001837584,2.74E-06,0.002157315,6.43E-05,,,,
TO,8wk,Benthic,0.0000123,0.001182695,0,0.000883875,0.00084851,0.004160792,0,0.001461522,2.16E-06,0.001267869,2.59E-05,,,,
TO,8wk,Benthic,0.000015569,0.001045833,0,0.000174655,0.000456024,0.00403681,0,0.00161232,,0.001715955,2.59E-05,,,,
TO,8wk,Benthic,,0.001143555,0,1.80E-05,0.000492167,0.003159841,0,0.001558041,,0.00161642,2.63E-05,,,,
TO,8wk,Benthic,,0.001105127,0,1.14E-05,2.92E-05,1.29E-06,0,,,,,,,,
TO,8wk,Benthic,,0.000980951,0,1.34E-05,4.51E-05,1.38E-06,0,,,,,,,,
TO,8wk,Benthic,,0.001113438,0,,,1.58E-06,0,,,,,,,,
TO,8wk,Pelagic,4.44E-06,0.002288514,0,9.65E-05,0.000608307,0.000169263,0,0.00285846,4.64E-05,0.002128017,1.80E-05,7.30E-03,,,
TO,8wk,Pelagic,2.60E-05,0.002486796,0,0.000428327,0.000697096,0.000103007,0,0.003039887,4.79E-05,0.002109794,1.30E-05,2.97E-02,,,
TO,8wk,Pelagic,0.000029309,0.002500397,0,0.00045869,0.000642148,6.68E-05,0,0.003044944,1.89E-05,0.002556518,3.79E-05,6.05E-02,,,
TO,8wk,Pelagic,1.17E-05,0.000952923,0,0.000194985,0.001126477,0.000486216,0,0.000818913,2.08E-05,0.0010299,2.62E-05,5.97E-02,,,
TO,8wk,Pelagic,1.35E-05,0.000894292,0,0.000103759,0.00100047,0.00046241,0,0.000796702,0.000131141,0.00115641,8.95E-05,3.58E-02,,,
TO,8wk,Pelagic,1.58E-05,0.000890716,0,0.000281454,0.000982097,6.50E-05,0,0.000903838,0.000154481,0.00105818,7.01E-05,3.45E-02,,,
TO,8wk,Pelagic,1.27E-05,0.000968621,0,0.000207579,0.000410584,5.44E-05,0,0.000655691,3.18E-05,0.001242232,5.66E-05,,,,
TO,8wk,Pelagic,1.76E-05,0.00105797,0,0.00032886,0.000495473,4.87E-05,0,0.000627304,2.20E-05,0.00143319,6.58E-05,,,,
TO,8wk,Pelagic,0.000014458,0.000962895,0,0.000358144,0.000417034,0.001662981,0,0.000666061,1.80E-05,0.00136142,7.11E-05,,,,
TO,8wk,Pelagic,9.27E-06,0.001224012,0,0.00023531,0.000748331,0.001403162,0,0.000657734,1.61E-05,0.001067455,6.79E-05,,,,
TO,8wk,Pelagic,2.22E-05,0.001153102,0,0.000419848,0.000672655,0.001204865,0,0.000723625,5.62E-05,0.000991054,6.74E-05,,,,
TO,8wk,Pelagic,1.34E-05,0.001132363,0,0.000473282,0.000624348,0.001055416,0,0.000672206,5.89E-05,0.001052851,7.60E-05,,,,
TO,8wk,Pelagic,8.19E-06,0.000600589,0,1.72E-06,0.00073394,0.00105991,0,0.000554687,,0.001927272,,,,,
TO,8wk,Pelagic,1.50E-05,0.000575707,0,0.000260901,0.000558297,0.001096487,0,0.000646784,,0.001962592,,,,,
TO,8wk,Pelagic,8.40E-06,0.000673753,0,0.00018977,0.000774155,0.000918175,0,0.00063269,,0.002219904,,,,,
TO,8wk,Pelagic,1.19E-05,0.00035947,0,0.000605232,0.001235739,0.000768559,0,0.000332552,,0.002108935,,,,,
TO,8wk,Pelagic,4.72E-06,0.000280757,0,0.000972989,0.001187326,,0,0.00031334,,0.002049102,,,,,
TO,8wk,Pelagic,7.35E-06,0.000420572,0,0.000842836,0.001213253,,0,0.000401291,,0.002026888,,,,,
LF,1wk,Benthic,2.14E-05,0.002154027,1.21E-06,0.000508135,4.80E-06,0.002417587,,1.51E-03,0.000311632,6.65E-06,0,,,,
LF,1wk,Benthic,8.05E-05,0.00226172,1.19E-05,0.000529853,2.46E-05,0.003389553,,1.61E-03,0.000378258,4.57E-06,0,,,,
LF,1wk,Benthic,4.92E-05,0.002286617,6.85E-06,0.000610545,3.91E-05,0.003455765,,7.67E-04,0.000208638,2.58E-06,0,,,,
LF,1wk,Benthic,7.39E-05,0.002364732,1.21E-05,0.000784796,0.000126579,0.023093809,,7.01E-02,0.021671061,1.38E-05,0,,,,
LF,1wk,Benthic,0.000118884,0.002179136,1.43E-05,0.000447236,0.000109494,0.023836036,,7.85E-02,0.021683974,9.28E-06,0,,,,
LF,1wk,Benthic,7.54E-05,0.002064804,7.87E-06,0.000173719,1.30E-05,0.025669883,,9.47E-02,0.018718268,,0,,,,
LF,1wk,Benthic,5.46E-05,0.001316401,1.72E-05,0.001013235,1.67E-05,0.004898229,,1.52E-03,0.000721265,,,,,,
LF,1wk,Benthic,4.60E-05,0.001980334,2.26E-05,0.000906301,2.28E-05,0.005192757,,1.77E-03,0.000668281,,,,,,
LF,1wk,Benthic,3.29E-05,0.001920086,3.08E-05,0.000883214,1.24E-05,0.005302029,,1.71E-03,0.000466302,,,,,,
LF,1wk,Benthic,3.52E-05,0.001899882,3.02E-07,0.001900574,1.87E-05,0.004221666,,1.79E-03,0.000430113,,,,,,
LF,1wk,Benthic,3.87E-05,0.001702417,7.51E-07,0.00171571,3.38E-05,0.004051004,,1.89E-03,0.000346068,,,,,,
LF,1wk,Benthic,4.22E-05,0.001641236,,0.000834172,7.67E-05,0.004179612,,1.84E-03,0.000349885,,,,,,
LF,1wk,Benthic,4.34E-05,0.001783682,,0.001233795,0.00017434,0.005728827,,,,,,,,,
LF,1wk,Benthic,4.65E-05,0.001724785,,0.001000939,0.000269501,0.006022749,,,,,,,,,
LF,1wk,Benthic,1.05E-05,0.001709815,,0.00089555,1.41E-05,0.006394736,,,,,,,,,
LF,1wk,Benthic,2.36E-05,0.001000188,,0.000198929,6.23E-05,0.003744108,,,,,,,,,
LF,1wk,Benthic,4.63E-05,0.001348974,,0.000160712,6.78E-05,0.005229328,,,,,,,,,
LF,1wk,Benthic,,0.0013968,,7.92E-05,,0.005296226,,,,,,,,,
LF,1wk,Pelagic,1.48E-05,0.002712304,1.23E-06,0.001000145,0.000443829,0.008449011,,0.004634073,0.000190206,9.15E-06,0,,,,
LF,1wk,Pelagic,2.55E-05,0.002664237,1.19E-06,0.000818199,0.000698707,0.008619361,,0.004478583,0.000145714,8.77E-06,0,,,,
LF,1wk,Pelagic,3.40E-05,0.002679172,1.22E-06,0.000733489,0.000609678,0.008471697,,0.004378497,0.000241674,1.05E-05,0,,,,
LF,1wk,Pelagic,1.26E-05,0.001960386,3.05E-06,0.000779201,0.000105254,0.00699507,,0.005042066,0.000227772,1.33E-05,0,,,,
LF,1wk,Pelagic,2.36E-05,0.001830393,3.11E-06,0.000194494,0.000415365,0.007641642,,0.00391779,0.000409391,1.15E-05,0,,,,
LF,1wk,Pelagic,2.36E-05,0.001937774,6.20E-06,0.000470642,0.000282504,0.007306851,,0.004196079,0.0004035,7.57E-06,0,,,,
LF,1wk,Pelagic,3.01E-05,0.001398875,6.63E-06,0.000691814,1.74E-05,0.005258508,,0.002395693,0.006578909,8.19E-06,0,,,,
LF,1wk,Pelagic,2.55E-05,0.001715968,6.75E-06,0.000252084,2.49E-05,0.005085363,,0.002596308,0.003743999,6.65E-06,0,,,,
LF,1wk,Pelagic,2.57E-05,0.001670635,4.42E-05,0.001290205,2.64E-05,0.005526222,,0.00251712,0.00029695,2.63E-07,0,,,,
LF,1wk,Pelagic,2.71E-05,0.003454337,2.76E-05,0.003359737,2.11E-05,0.026345908,,0.012971808,0.000343286,3.35E-06,0,,,,
LF,1wk,Pelagic,9.79E-05,0.003192896,1.91E-05,0.000758408,3.14E-05,0.046414588,,0.01214394,,2.92E-06,0,,,,
LF,1wk,Pelagic,9.98E-05,0.002768459,,0.001740568,1.61E-05,0.042159872,,0.008818567,,,,,,,
LF,1wk,Pelagic,1.14E-05,0.001026847,,0.000919676,,0.009632345,,0.001255595,,,,,,,
LF,1wk,Pelagic,8.37E-06,0.001262596,,0.00034921,,0.012576546,,0.00136258,,,,,,,
LF,1wk,Pelagic,1.93E-05,0.001020293,,0.000828701,,0.0116193,,0.001187813,,,,,,,
LF,1wk,Pelagic,,,,0.0008489,,0.00363536,,,,,,,,,
LF,1wk,Pelagic,,,,0.000340006,,0.00389346,,,,,,,,,
LF,1wk,Pelagic,,,,,,0.004121643,,,,,,,,,
LF,2wk,Benthic,3.46E-06,0.002037355,,0.000418276,3.85E-06,0.002891969,0,0.00104205,8.47E-05,1.14E-06,0,0,,,
LF,2wk,Benthic,1.26E-05,0.002109094,,0.00033114,2.48E-06,0.004281263,0,0.001199735,4.48E-05,5.59E-07,0,0,,,
LF,2wk,Benthic,1.97E-05,0.002272534,,0.000447726,4.02E-06,0.004169338,0,0.001227946,3.65E-05,1.02E-06,0,0,,,
LF,2wk,Benthic,3.14E-06,0.001565872,,0.000138738,3.36E-05,0.002272773,0,0.001128215,1.59E-05,0,0,,,,
LF,2wk,Benthic,1.01E-05,0.001570713,,0.000111129,7.16E-05,0.002588281,0,0.001318511,8.93E-06,0,0,,,,
LF,2wk,Benthic,7.64E-06,0.001572006,,0.000138229,6.30E-05,0.002477342,0,0.001249457,7.97E-06,9.24E-07,0,,,,
LF,2wk,Benthic,8.60E-06,0.001114253,,0.00038879,3.08E-05,0.002591416,0,0.000490507,0.000144651,1.02E-06,0,,,,
LF,2wk,Benthic,1.13E-05,0.001218792,,0.000339564,5.78E-05,0.00272133,0,0.000514412,0.000125102,,0,,,,
LF,2wk,Benthic,1.27E-05,0.001104109,,0.000296904,5.81E-05,0.002756854,0,0.000513347,0.000134178,,0,,,,
LF,2wk,Benthic,6.25E-06,0.001000009,,0.000664138,3.88E-05,0.002285302,0,0.00038238,0.000147587,,0,,,,
LF,2wk,Benthic,1.08E-05,0.001122538,,0.00055568,4.61E-05,0.00263127,0,0.000359206,0.000117984,,0,,,,
LF,2wk,Benthic,9.24E-06,0.001024121,,0.000590275,6.66E-05,0.002703532,,0.000382511,6.01E-05,,0,,,,
LF,2wk,Benthic,3.56E-06,0.000681331,,0.000370971,8.20E-05,0.002054933,,0.000422386,5.06E-05,,0,,,,
LF,2wk,Benthic,6.97E-06,0.000693631,,0.000382704,0.000130219,0.00255237,,0.000399817,3.40E-05,,0,,,,
