Species,Treatment,SpxTr,Week,SpxTrxWk,ID,HL,FL,IL,CL,OL,IL_res,CL_res,OL_res,,COUPLER LINK,Maylandia,pvalue t.test,Tropheops,pvalue t.test,Labeotropheus,pvalue t.test,,,Coupler Link,Slope,,Y-intercept,,,,,,,,,,,
Labeotropheus,Benthic,Labeo_B,2wk,Labeo_B2,10,2045.754,1494.59,1231.309,1173.188,102.176,-28.54127006,-12.3338824,-21.58414539,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Benthic,Labeo_B,2wk,Labeo_B2,11,1898.981,1401.157,1169.05,1143.252,136.821,7.6313762,47.02140318,22.8253223,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Benthic,Labeo_B,2wk,Labeo_B2,12,1542.236,1100.869,916.965,917.166,91.093,-5.206639377,37.96591749,0.830740725,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,2wk,Labeo_P2,7,1899.256,1345.727,1175.579,1128.144,144.779,13.97595057,31.74610332,30.76502718,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,2wk,Labeo_P2,8,1831.91,1347.174,1089.975,1035.626,106.066,-26.46321905,-19.80107154,-3.467599448,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,2wk,Labeo_P2,9,1610.919,1149.881,970.758,893.904,90.25,2.524886374,-27.0802892,-4.581580157,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,2wk,Labeo_P2,11,1579.927,1111.969,914.705,888.856,91.241,-32.74368065,-13.27389825,-1.528754191,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,2wk,Labeo_P2,12,1770.003,1237.237,1054.337,999.162,108.665,-20.58399228,-18.6031336,3.24992985,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Benthic,Labeo_B,4wk,Labeo_B4,13,1978.338,1411.675,1246.069,1109.339,121.824,31.43050502,-35.16947184,2.54888492,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Benthic,Labeo_B,4wk,Labeo_B4,14,2112.52,1458.784,1322.075,1248.09,161.805,17.44886998,21.95014308,33.6030673,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Benthic,Labeo_B,4wk,Labeo_B4,15,2419.15,1702.751,1528.398,1357.462,136.528,18.13394139,-55.22025163,-12.07331627,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Benthic,Labeo_B,4wk,Labeo_B4,16,1682.658,1156.682,1008.464,895.815,90,-7.880059584,-68.81265369,-9.604209639,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Benthic,Labeo_B,4wk,Labeo_B4,17,2072.409,1436.045,1273.941,1182.643,137.641,-3.785143217,-19.09480234,12.10755921,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,4wk,Labeo_P4,13,1472.416,1056.907,911.131,855.084,79.202,35.78335102,18.35983308,-6.415296416,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,4wk,Labeo_P4,14,1593.088,1127.497,1002.557,915.02,132.85,46.2820441,4.883434248,39.20467497,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,4wk,Labeo_P4,15,1789.751,1325.586,1125.88,1048.894,114.237,37.7152357,19.11491078,7.508141158,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,4wk,Labeo_P4,16,2227.79,1570.362,1382.502,1323.218,129.139,0.571353043,26.95212202,-6.73157877,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,4wk,Labeo_P4,17,1636.274,1190.214,1016.996,973.337,101.514,31.75884346,36.92766297,4.99561043,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Benthic,Labeo_B,8wk,Labeo_B8,18,2478.545,1793.058,1551.928,1456.352,165.747,1.831358905,7.536018687,13.19427197,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Benthic,Labeo_B,8wk,Labeo_B8,19,2592.514,1875.266,1583.193,1598.885,126.57,-43.33565715,80.73447809,-33.56482159,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Benthic,Labeo_B,8wk,Labeo_B8,20,2496.503,1821.542,1637.486,1483.401,185.084,75.34603007,23.66003312,31.33656783,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Benthic,Labeo_B,8wk,Labeo_B8,21,1986.775,1402.13,1260.586,1176.861,108.167,40.28932675,27.21976821,-11.66940915,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Benthic,Labeo_B,8wk,Labeo_B8,22,2501.615,1716.914,1590.678,1408.659,186.29,25.1097253,-54.19191934,32.20247831,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,8wk,Labeo_P8,18,2232.244,1657.643,1414.171,1329.274,79.429,29.25332851,30.29847252,-56.73789307,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,8wk,Labeo_P8,20,1944.593,1417.947,1183.252,1148.859,102.616,-8.755793805,24.87974288,-14.4141384,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,8wk,Labeo_P8,21,2179.96,1472.416,1187.655,1197.034,131.795,-162.1990004,-70.1338682,-0.893559671,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,Pelagic,Labeo_P,8wk,Labeo_P8,22,2047.269,1481.566,1283.204,1182,90,22.33771239,-4.443552584,-33.86093483,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slopes,Coupler Link,,Output Link,,Input Link,,Fixed Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Benthic,Pelagic,Benthic,Pelagic,Benthic,Pelagic,Benthic,Pelagic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labeotropheus,0.6074,0.603,0.0756,0.0315,0.681,0.62,0.709,0.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tropheops,0.6092,0.6369,0.0668,0.0657,0.587,0.668,0.815,0.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maylandia,0.6289,0.7814,0.0786,0.1326,0.761,0.761,0.747,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactions,Coupler Link,,Output Link,,Input Link,,Fixed Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Benthic,Pelagic,Benthic,Pelagic,Benthic,Pelagic,Benthic,Pelagic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labeo:Troph,0.9987,0.7669,0.86,0.2124,0.1301,0.017,0.0008,0.0184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Labeo:May,0.8475,0.002,0.9849,1.00E-04,0.093,0.625,0.4209,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May:Troph,0.8837,0.0036,0.8157,0.001,0.0013,0.0954,0.0891,0.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
